tidspunkt,symbol,handling,pris,mengde_coin,beløp_usdt,fee_usdt,grunn,gevinst_usdt,gevinst_prosent,dca_level
2026-04-02 03:18:08,SOLUSDT,VENTER,78.82,0.0,0.0,0.0,Ingen signal – RSI=27.8 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 03:33:12,BTCUSDT,VENTER,66843.14,0.0,0.0,0.0,"Holder 1 pos – RSI=38.9, endring=-0.04%",0.0,0.0,0
2026-04-02 03:33:12,ETHUSDT,VENTER,2073.46,0.0,0.0,0.0,Ingen signal – RSI=30.8 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 03:33:12,SOLUSDT,VENTER,79.23,0.0,0.0,0.0,Ingen signal – RSI=34.3 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 03:48:15,BTCUSDT,VENTER,66599.21,0.0,0.0,0.0,"Holder 1 pos – RSI=36.3, endring=-0.40%",0.0,0.0,0
2026-04-02 03:48:15,ETHUSDT,VENTER,2053.36,0.0,0.0,0.0,Ingen signal – RSI=25.7 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 03:48:15,SOLUSDT,VENTER,78.93,0.0,0.0,0.0,Ingen signal – RSI=32.0 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 04:03:18,BTCUSDT,VENTER,66583.3,0.0,0.0,0.0,"Holder 1 pos – RSI=36.1, endring=-0.42%",0.0,0.0,0
2026-04-02 04:03:18,ETHUSDT,VENTER,2056.77,0.0,0.0,0.0,Ingen signal – RSI=27.9 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 04:03:19,SOLUSDT,VENTER,79.0,0.0,0.0,0.0,Ingen signal – RSI=33.1 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 04:18:22,BTCUSDT,VENTER,66538.89,0.0,0.0,0.0,"Holder 1 pos – RSI=35.6, endring=-0.49%",0.0,0.0,0
2026-04-02 04:18:22,ETHUSDT,VENTER,2054.19,0.0,0.0,0.0,Ingen signal – RSI=27.2 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 04:18:22,SOLUSDT,VENTER,78.89,0.0,0.0,0.0,Ingen signal – RSI=32.2 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 04:33:26,BTCUSDT,VENTER,66408.41,0.0,0.0,0.0,"Holder 1 pos – RSI=34.1, endring=-0.69%",0.0,0.0,0
2026-04-02 04:33:26,ETHUSDT,VENTER,2051.06,0.0,0.0,0.0,Ingen signal – RSI=26.5 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 04:33:26,SOLUSDT,VENTER,78.95,0.0,0.0,0.0,Ingen signal – RSI=33.3 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 04:48:28,BTCUSDT,VENTER,66285.17,0.0,0.0,0.0,"Holder 1 pos – RSI=32.7, endring=-0.87%",0.0,0.0,0
2026-04-02 04:48:28,ETHUSDT,VENTER,2046.12,0.0,0.0,0.0,Ingen signal – RSI=25.2 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 04:48:28,SOLUSDT,VENTER,79.01,0.0,0.0,0.0,Ingen signal – RSI=34.4 (aktiv: RSI_EMA),0.0,0.0,0
